Disease,Symptoms
AIDS,"Fever, Headache, Muscle aches and joint pain, Rash, Sore throat and painful mouth sores, Swollen lymph glands, mainly on the neck, Diarrhea, Weight loss."
Alzheimer's disease,"someone with early Alzheimer's disease may: forget about recent conversations or events, or misplace items, forget the names of places and objects, or have trouble thinking of the right word, repeat themselves regularly, such as asking the same question several times, show poor judgement or find it harder to make decisions, become less flexible and more hesitant to try new things"
Appendicitis,"Appendicitis typically starts with a pain in the middle of your tummy (abdomen) that may come and go. Within hours, the pain travels to your lower right-hand side, where the appendix is usually located, and becomes constant and severe. Other symptoms may include: feeling sick (nausea), being sick, loss of appetite, diarrhoea, a high temperature (fever) and a flushed face."
Asthma,"wheezing (a whistling sound when you breathe), shortness of breath, a tight chest – which may feel like a band is tightening around it, coughing. These symptoms are often worse at night and early in the morning, particularly if the condition is not well controlled. They may also develop or become worse in response to a certain trigger, such as exercise or exposure to an allergen."
Bronchitis,"The main symptom of bronchitis is a hacking cough. It is likely that your cough will bring up thick yellow-grey mucus (phlegm), although this does not always happen. Other symptoms of bronchitis are similar to those of other infections, such as the common cold or sinusitis, and may include: sore throat, headache, runny or blocked nose, aches and pains, tiredness. If you have bronchitis, your cough may last for several weeks after other symptoms have gone. You may also find that the continual coughing makes your chest and stomach muscles sore. Some people may experience shortness of breath or wheezing, due to inflamed airways. However, this is more common with long-term (chronic) bronchitis."
Chiken Pox,"The classic symptom of chickenpox is a rash that turns into itchy, fluid-filled blisters that eventually turn into scabs. The rash may first show up on the chest, back, and face, and then spread over the entire body, including inside the mouth, eyelids, or genital area."
Common cold,"sore throat, a blocked or runny nose, sneezing, a cough, a hoarse voice, generally feeling unwell, Less common symptoms of a cold include: a high temperature (fever) – this is usually about 37-39C (98.6-102.2F), a headache, earache – severe earache may be a sign of a middle ear infection, muscle pain, loss of taste and smell, mild irritation of your eyes, a feeling of pressure in your ears and face  "
Conjunctivitis,"The symptoms of conjunctivitis will depend on what's causing the condition. However, the 2 main symptoms are usually: eye redness – as a result of the inflammation and widening of the tiny blood vessels in the conjunctiva (the thin layer of cells covering the front of the eyes), a discharge – the conjunctiva contains thousands of cells that produce mucus and tiny glands that produce tears – inflammation causes the glands to become overactive, so that they produce more water and mucus, only one eye tends to be affected at first, but symptoms usually affect both eyes within a few hours."
Coronavirus,"continuous cough, high temperature, fever or chills, loss of, or change in, your normal sense of taste or smell, shortness of breath, unexplained tiredness, lack of energy, muscle aches or pains that are not due to exercise, not wanting to eat or not feeling hungry, headache that's unusual or longer lasting than usual, sore throat, stuffy or runny nose, diarrhoea, feeling sick or being sick"
COVID-19,"continuous cough, high temperature, fever or chills, loss of, or change in, your normal sense of taste or smell, shortness of breath, unexplained tiredness, lack of energy, muscle aches or pains that are not due to exercise, not wanting to eat or not feeling hungry, headache that's unusual or longer lasting than usual, sore throat, stuffy or runny nose, diarrhoea, feeling sick or being sick"
Dengue,"Symptoms include high fever, headache, rash and muscle and joint pain. In severe cases there is serious bleeding and shock, which can be life threatening."
